Category,2016_Type,2016_Name,2016_Label,2022_Type,2022_Name,2022_Label,Mapping_Status
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO,Id10060_check,Marriage date available,-,-,-,REMOVED
## 4. ADULT-ONLY QUESTIONS,date,Id10060,Date of marriage,-,-,-,REMOVED
## 4. ADULT-ONLY QUESTIONS,select_one select_23,Id10063,Highest education,select_one select_23,Id10063,Highest education,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10064,Able to read/write,select_one YES_NO_DK_REF,Id10064,Able to read/write,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one select_25,Id10065,Economic activity,select_one select_25,Id10065,Economic activity,Mapped
## 4. ADULT-ONLY QUESTIONS,text,Id10066,Occupation,text,Id10066,Occupation,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10487,COVID-19 contact,select_one YES_NO_DK_REF,Id10487,COVID-19 contact,Mapped
## 4. ADULT-ONLY QUESTIONS,-,-,-,select_one YES_NO_DK_REF,Id10485,Extreme fatigue,NEW
## 4. ADULT-ONLY QUESTIONS,-,-,-,select_one YES_NO_DK_REF,Id10486,Loss of smell/taste,NEW
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10170,Unable to do daily routines,select_one YES_NO_DK_REF,Id10170,Unable to do daily routines,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10171,Breathless lying flat,select_one YES_NO_DK_REF,Id10171,Breathless lying flat,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10173_a,Wheezing,select_one YES_NO_DK_REF,Id10173_a,Wheezing,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10175,Chest pain severe,select_one YES_NO_DK_REF,Id10175,Chest pain severe,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10212,Mental confusion,select_one YES_NO_DK_REF,Id10212,Mental confusion,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one units_2,Id10213_units,Mental confusion duration unit,select_one units_2,Id10213_units,Mental confusion duration unit,Mapped
## 4. ADULT-ONLY QUESTIONS,integer,Id10213_a,Mental confusion days,integer,Id10213_a,Mental confusion days,Mapped
## 4. ADULT-ONLY QUESTIONS,integer,Id10213_b,Mental confusion months,integer,Id10213_b,Mental confusion months,Mapped
## 4. ADULT-ONLY QUESTIONS,calculate,Id10213,Mental confusion months,calculate,Id10213,Mental confusion months,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10170,Unable to carry daily routines,select_one YES_NO_DK_REF,Id10170,Unable to carry daily routines,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10171,Breathless lying flat,select_one YES_NO_DK_REF,Id10171,Breathless lying flat,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10237,Shingles/herpes zoster,select_one YES_NO_DK_REF,Id10237,Shingles/herpes zoster,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10254,Lumps/sores in mouth,select_one YES_NO_DK_REF,Id10254,Lumps/sores in mouth,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10253,Lumps elsewhere,select_one YES_NO_DK_REF,Id10253,Lumps elsewhere,Mapped
## 4. ADULT-ONLY QUESTIONS,begin group,risk_factors,Risk factors,begin group,risk_factors,Risk factors,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10411,Drink alcohol,select_one YES_NO_DK_REF,Id10411,Drink alcohol,Mapped
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10412,Use tobacco,-,-,-,REMOVED
## 4. ADULT-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10413,Smoke tobacco,select_one YES_NO_DK_REF,Id10413,Smoke tobacco,Mapped
## 4. ADULT-ONLY QUESTIONS,-,-,-,select_one select_535,Id10413_a,Smoke duration unit,NEW
## 4. ADULT-ONLY QUESTIONS,-,-,-,integer,Id10413_d,Smoke duration number,NEW
## 4. ADULT-ONLY QUESTIONS,-,-,-,select_one YES_NO_DK_REF,Id10413_b,Smoke daily,NEW
## 4. ADULT-ONLY QUESTIONS,select_one select_306,Id10414,Kind of tobacco,select_one select_306,Id10414,Chew/sniff tobacco,Mapped
## 4. ADULT-ONLY QUESTIONS,-,-,-,select_one select_535,Id10414_a,Chew/sniff duration unit,NEW
## 4. ADULT-ONLY QUESTIONS,-,-,-,integer,Id10414_d,Chew/sniff duration number,NEW
## 4. ADULT-ONLY QUESTIONS,-,-,-,select_one YES_NO_DK_REF,Id10414_b,Chew/sniff daily,NEW
## 4. ADULT-ONLY QUESTIONS,integer,Id10415,Cigarettes daily,-,-,-,REMOVED
## 4. ADULT-ONLY QUESTIONS,integer,Id10416,Tobacco use times per day,-,-,-,REMOVED
## 4. ADULT-ONLY QUESTIONS,end group,-,-,end group,-,-,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10408,Growing normally,select_one YES_NO_DK_REF,Id10408,Growing normally,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one units_4,Id10352_units,Age at illness onset unit,select_one units_4,Id10352_units,Age at illness onset unit,Mapped
## 5. CHILD-ONLY QUESTIONS,integer,Id10352_a,Age at illness months,integer,Id10352_a,Age at illness months,Mapped
## 5. CHILD-ONLY QUESTIONS,integer,Id10352_b,Age at illness years,integer,Id10352_b,Age at illness years,Mapped
## 5. CHILD-ONLY QUESTIONS,calculate,Id10352,Age at illness years,calculate,Id10352,Age at illness years,Mapped
## 5. CHILD-ONLY QUESTIONS,begin group,neonatal_childA,Child questions A,begin group,neonatal_childA,Child questions A,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10354,Multiple birth,select_one YES_NO_DK_REF,Id10354,Multiple birth,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one select_219,Id10355,Birth order,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10356,Mother alive,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one select_221,Id10357,Mother died when,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,begin group,moth_death,Mother death,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one units_5,Id10358_units,Mother death unit,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,integer,Id10358,Mother death months,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,integer,Id10359,Mother death days,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,integer,Id10359_a,Mother death weeks,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,end group,-,-,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one select_223,Id10360,Where born,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10361,Professional assistance at birth,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10362,Usual size at birth,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10363,Smaller than usual,select_one YES_NO_DK_REF,Id10363,Smaller than usual,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10364,Very much smaller,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10365,Larger than usual,select_one YES_NO_DK_REF,Id10365,Larger than usual,Mapped
## 5. CHILD-ONLY QUESTIONS,note,id1036X_check,Size validation,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,integer,Id10366,Birth weight (grammes),integer,Id10366,Birth weight (grammes),Mapped
## 5. CHILD-ONLY QUESTIONS,-,-,-,select_one YES_NO,Id10366_check,Child health card available,NEW
## 5. CHILD-ONLY QUESTIONS,-,-,-,begin group,g10366,Birth weight group,NEW
## 5. CHILD-ONLY QUESTIONS,-,-,-,note,n10366,Birth weight note,NEW
## 5. CHILD-ONLY QUESTIONS,-,-,-,end group,-,-,NEW
## 5. CHILD-ONLY QUESTIONS,integer,Id10367,Pregnancy length (months),integer,Id10367,Pregnancy length (months),Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10368,Complications late pregnancy,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10369,Complications labour/delivery,select_one YES_NO_DK_REF,Id10369,Complications labour/delivery,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10370,Physical abnormality,select_one YES_NO_DK_REF,Id10370,Physical abnormality,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10371,Swelling/defect on back,select_one YES_NO_DK_REF,Id10371,Swelling/defect on back,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10372,Very large head,select_one YES_NO_DK_REF,Id10372,Very large head,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10373,Very small head,select_one YES_NO_DK_REF,Id10373,Very small head,Mapped
## 5. CHILD-ONLY QUESTIONS,integer,Id10394,Mother's previous births,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,end group,-,-,end group,-,-,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10166,Fast breathing,select_one YES_NO_DK_REF,Id10166,Fast breathing,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10172,Chest in-drawing,select_one YES_NO_DK_REF,Id10172,Chest in-drawing,Mapped
## 5. CHILD-ONLY QUESTIONS,select_multiple select_501,Id10173_nc,Breathing sounds (child),select_multiple select_501,Id10173_nc,Breathing sounds (child),Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10269,Sunken eyes,select_one YES_NO_DK_REF,Id10269,Sunken eyes,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10270,Drank more water,-,-,-,REMOVED
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10271,Suckle in first 24h,select_one YES_NO_DK_REF,Id10271,Suckle in first 24h,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10272,Suckle normally,select_one YES_NO_DK_REF,Id10272,Suckle normally,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10273,Stop suckling,select_one YES_NO_DK_REF,Id10273,Stop suckling,Mapped
## 5. CHILD-ONLY QUESTIONS,integer,Id10274_a,Stop suckling days,integer,Id10274_a,Stop suckling days,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one units_2,Id10274_units,Stop suckling unit,select_one units_2,Id10274_units,Stop suckling unit,Mapped
## 5. CHILD-ONLY QUESTIONS,integer,Id10274_b,Stop suckling days,integer,Id10274_b,Stop suckling days,Mapped
## 5. CHILD-ONLY QUESTIONS,integer,Id10274_c,Stop suckling months,integer,Id10274_c,Stop suckling months,Mapped
## 5. CHILD-ONLY QUESTIONS,calculate,Id10274,Stop suckling days calc,calculate,Id10274,Stop suckling days calc,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10275,Convulsions <24h,select_one YES_NO_DK_REF,Id10275,Convulsions <24h,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10276,Convulsions >24h,select_one YES_NO_DK_REF,Id10276,Convulsions >24h,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10277,Body stiff/arched,select_one YES_NO_DK_REF,Id10277,Body stiff/arched,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10278,Bulging fontanelle,select_one YES_NO_DK_REF,Id10278,Bulging fontanelle,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10279,Sunken fontanelle,select_one YES_NO_DK_REF,Id10279,Sunken fontanelle,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10281,Unresponsive/unconscious,select_one YES_NO_DK_REF,Id10281,Unresponsive/unconscious,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10282,Unresponsive <24h,select_one YES_NO_DK_REF,Id10282,Unresponsive <24h,Mapped
## 5. CHILD-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10283,Unresponsive >24h,select_one YES_NO_DK_REF,Id10283,Unresponsive >24h,Mapped
## 6. NEONATE-ONLY QUESTIONS,begin group,stillbirth,Stillbirth verification,begin group,stillbirth,Stillbirth verification,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10104,Baby ever cry,select_one YES_NO_DK_REF,Id10104,Baby ever cry,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10105,Cry immediately,select_one YES_NO_DK_REF,Id10105,Cry immediately,Mapped
## 6. NEONATE-ONLY QUESTIONS,integer,Id10106,Minutes to first cry,integer,Id10106,Minutes to first cry,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10107,Stop being able to cry,select_one YES_NO_DK_REF,Id10107,Stop being able to cry,Mapped
## 6. NEONATE-ONLY QUESTIONS,integer,Id10108,Hours before death stopped crying,-,-,-,REMOVED
## 6. NEONATE-ONLY QUESTIONS,-,-,-,select_one YES_NO_DK_REF,Id10377,Stop moving in womb,NEW
## 6. NEONATE-ONLY QUESTIONS,-,-,-,select_one select_532,Id10376,Stop moving before/after labour,NEW
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10109,Ever move after delivery,select_one YES_NO_DK_REF,Id10109,Ever move after delivery,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10110,Ever breathe,select_one YES_NO_DK_REF,Id10110,Ever breathe,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10111,Breathe immediately,select_one YES_NO_DK_REF,Id10111,Breathe immediately,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10112,Breathing problem,select_one YES_NO_DK_REF,Id10112,Breathing problem,Mapped
